             column1             column2
                   0                2223
                   1               13004
                   2               11362
                   3               15959
                   4               15706
                   5               16368
                   6               15909
                   7               14907
                   8               10420
                   9               16007
                  10               15940
                  11               15256
                  12               14988
                  13               11694
                  14               14834
                  15               15896
                  16               16231
                  17               14622
                  18               12223
                  19               14299
                  20               15352
                  21               15727
                  22               14461
                  23               11742
                  24               11721
                  25               14733
                  26               15162
                  27               12078
                  28               12515
                  29               12820
                  30                9006
                  31                9404
                  32               13558
                  33               10147
                  34               11574
                  35               12405
                  36               11580
                  37               12755
                  38               10362
                  39               15531
                  40               12090
                  41                3751
                  42               10314
                  43               12175
                  44               13741
                  45                8311
                  46               10430
                  47               12587
                  48               13314
                  49               12614
                  50               11820
                  51               11527
                  52               10634
                  53               14207
                  54               13899
                  55               10706
                  56               11911
                  57                9282
                  58               14594
                  59               10405
                  60               13024
                  61               13388
                  62               12550
                  63               13382
                  64               14471
                  65                9394
                  66               11005
                  67                8643
                  68               10196
                  69               13089
                  70               13134
                  71               15114
                  72               12726
                  73               11397
                  74               14716
                  75               12588
                  76               14168
                  77               14781
                  78               13606
                  79               15088
                  80               11131
                  81               11251
                  82               10553
                  83                7833
                  84                 278
                  85                9311
                  86                6526
                  87                8658
                  88                8727
                  89                8557
                  90               11836
                  91               11929
                  92               11799
                  93               13757
                  94               14359
                  95               14001
                  96               11636
                  97               12109
                  98               14115
                  99               14147
                 100               14103
                 101                5363
                 102                1248
                 103                1026
                 104                 283
                 106                 144
                 107                 495
