             column1             column2
                   1                  32
                   2                  30
                   3                  31
                   4                  33
                   5                  29
                   6                  33
                   7                  31
                   8                  32
                   9                  31
                  10                  25
                  11                  30
                  12                  35
                  13                  31
                  14                  27
                  15                  34
                  16                  27
                  17                  35
                  18                  36
                  19                  31
                  20                  30
                  21                  31
                  22                  32
                  23                  34
                  24                  30
                  25                  29
                  26                  33
                  27                  32
                  28                  33
                  29                  33
                  30                  30
                  31                  32
                  32                  32
                  33                  32
                  34                  35
                  35                  28
                  36                  31
                  37                  33
                  38                  35
                  39                  32
                  40                  28
                  41                  34
                  42                  33
                  43                  35
                  44                  35
                  45                  28
                  46                  32
                  47                  33
                  48                  34
                  49                  33
                  50                  32
                  51                  34
                  52                  29
                  53                  35
                  54                  33
                  55                  35
                  56                  33
                  57                  32
                  58                  33
                  59                  31
                  60                  30
                  61                  36
                  62                  32
                  63                  32
                  64                  29
                  65                  34
                  66                  35
                  67                  34
                  68                  33
                  69                  31
                  70                  36
                  71                  34
                  72                  32
                  73                  32
                  74                  29
                  75                  33
                  76                  36
                  77                  30
                  78                  30
                  79                  29
                  80                  30
                  81                  36
                  82                  34
                  83                  28
                  84                  29
                  85                  33
                  86                  32
                  87                  34
                  88                  32
                  89                  28
                  90                  35
                  91                  34
                  92                  35
                  93                  31
                  94                  32
                  95                  37
                  96                  34
                  97                  33
                  98                  30
                  99                  31
